#group	#point 	X(mm)	Y(mm)	Z(mm)
1	1	1000	0	0
1	2	999.754	0.05	0
1	3	999.017	0.201	0
1	4	997.79	0.451	0
1	5	996.073	0.801	0
1	6	993.869	1.25	0
1	7	991.179	1.795	0
1	8	988.006	2.436	0
1	9	984.354	3.171	0
1	10	980.225	3.999	0
1	11	975.625	4.916	0
1	12	970.557	5.921	0
1	13	965.026	7.011	0
1	14	959.038	8.184	0
1	15	952.599	9.436	0
1	16	945.714	10.765	0
1	17	938.392	12.167	0
1	18	930.638	13.639	0
1	19	922.461	15.178	0
1	20	913.869	16.781	0
1	21	904.869	18.444	0
1	22	895.472	20.162	0
1	23	885.685	21.934	0
1	24	875.519	23.754	0
1	25	864.984	25.619	0
1	26	854.09	27.526	0
1	27	842.847	29.471	0
1	28	831.268	31.449	0
1	29	819.362	33.458	0
1	30	807.143	35.492	0
1	31	794.621	37.549	0
1	32	781.81	39.625	0
1	33	768.721	41.715	0
1	34	755.369	43.815	0
1	35	741.765	45.922	0
1	36	727.923	48.032	0
1	37	713.857	50.14	0
1	38	699.581	52.243	0
1	39	685.108	54.335	0
1	40	670.454	56.414	0
1	41	655.631	58.475	0
1	42	640.656	60.513	0
1	43	625.543	62.525	0
1	44	610.305	64.505	0
1	45	594.96	66.449	0
1	46	579.521	68.353	0
1	47	564.004	70.212	0
1	48	548.424	72.021	0
1	49	532.796	73.775	0
1	50	517.136	75.471	0
1	51	501.459	77.103	0
1	52	485.78	78.666	0
1	53	470.116	80.155	0
1	54	454.48	81.567	0
1	55	438.89	82.896	0
1	56	423.359	84.137	0
1	57	407.903	85.287	0
1	58	392.538	86.34	0
1	59	377.278	87.293	0
1	60	362.139	88.142	0
1	61	347.135	88.882	0
1	62	332.281	89.51	0
1	63	317.592	90.023	0
1	64	303.082	90.417	0
1	65	288.765	90.689	0
1	66	274.656	90.838	0
1	67	260.768	90.86	0
1	68	247.116	90.755	0
1	69	233.711	90.519	0
1	70	220.568	90.153	0
1	71	207.7	89.654	0
1	72	195.074	89.023	0
1	73	182.586	88.242	0
1	74	170.263	87.281	0
1	75	158.139	86.119	0
1	76	146.249	84.734	0
1	77	134.627	83.113	0
1	78	123.308	81.246	0
1	79	112.328	79.127	0
1	80	101.719	76.757	0
1	81	91.513	74.14	0
1	82	81.743	71.285	0
1	83	72.435	68.207	0
1	84	63.617	64.921	0
1	85	55.312	61.449	0
1	86	47.541	57.813	0
1	87	40.321	54.038	0
1	88	33.667	50.15	0
1	89	27.589	46.176	0
1	90	22.096	42.142	0
1	91	17.193	38.075	0
1	92	12.883	33.999	0
1	93	9.164	29.939	0
1	94	6.035	25.914	0
1	95	3.49	21.945	0
1	96	1.522	18.048	0
1	97	0.124	14.236	0
1	98	-0.716	10.52	0
1	99	-1.008	6.906	0
1	100	-0.765	3.399	0
1	101	0	0	0
1	102	1.258	-3.249	0
1	103	2.981	-6.307	0
1	104	5.154	-9.181	0
1	105	7.762	-11.88	0
1	106	10.79	-14.413	0
1	107	14.223	-16.791	0
1	108	18.049	-19.026	0
1	109	22.253	-21.131	0
1	110	26.824	-23.118	0
1	111	31.75	-25	0
1	112	37.023	-26.792	0
1	113	42.635	-28.505	0
1	114	48.579	-30.153	0
1	115	54.852	-31.747	0
1	116	61.452	-33.297	0
1	117	68.381	-34.814	0
1	118	75.641	-36.306	0
1	119	83.237	-37.782	0
1	120	91.177	-39.247	0
1	121	99.47	-40.707	0
1	122	108.126	-42.165	0
1	123	117.159	-43.622	0
1	124	126.581	-45.078	0
1	125	136.405	-46.53	0
1	126	146.645	-47.972	0
1	127	157.314	-49.395	0
1	128	168.425	-50.787	0
1	129	179.99	-52.132	0
1	130	192.019	-53.408	0
1	131	204.515	-54.59	0
1	132	217.348	-55.656	0
1	133	230.462	-56.602	0
1	134	243.843	-57.429	0
1	135	257.478	-58.138	0
1	136	271.353	-58.728	0
1	137	285.455	-59.203	0
1	138	299.77	-59.562	0
1	139	314.283	-59.809	0
1	140	328.981	-59.946	0
1	141	343.848	-59.974	0
1	142	358.87	-59.897	0
1	143	374.032	-59.717	0
1	144	389.319	-59.439	0
1	145	404.715	-59.065	0
1	146	420.207	-58.599	0
1	147	435.777	-58.044	0
1	148	451.411	-57.405	0
1	149	467.094	-56.685	0
1	150	482.809	-55.888	0
1	151	498.541	-55.019	0
1	152	514.275	-54.081	0
1	153	529.995	-53.078	0
1	154	545.685	-52.015	0
1	155	561.329	-50.896	0
1	156	576.913	-49.724	0
1	157	592.421	-48.503	0
1	158	607.838	-47.238	0
1	159	623.147	-45.933	0
1	160	638.335	-44.591	0
1	161	653.386	-43.216	0
1	162	668.284	-41.811	0
1	163	683.016	-40.381	0
1	164	697.567	-38.929	0
1	165	711.922	-37.459	0
1	166	726.068	-35.974	0
1	167	739.989	-34.477	0
1	168	753.673	-32.973	0
1	169	767.105	-31.464	0
1	170	780.273	-29.954	0
1	171	793.164	-28.446	0
1	172	805.764	-26.944	0
1	173	818.062	-25.451	0
1	174	830.044	-23.97	0
1	175	841.7	-22.504	0
1	176	853.017	-21.058	0
1	177	863.985	-19.634	0
1	178	874.592	-18.235	0
1	179	884.828	-16.866	0
1	180	894.683	-15.528	0
1	181	904.148	-14.226	0
1	182	913.212	-12.962	0
1	183	921.867	-11.741	0
1	184	930.104	-10.564	0
1	185	937.915	-9.435	0
1	186	945.292	-8.358	0
1	187	952.228	-7.334	0
1	188	958.717	-6.367	0
1	189	964.751	-5.46	0
1	190	970.324	-4.615	0
1	191	975.432	-3.835	0
1	192	980.068	-3.122	0
1	193	984.229	-2.478	0
1	194	987.91	-1.904	0
1	195	991.108	-1.404	0
1	196	993.82	-0.978	0
1	197	996.042	-0.627	0
1	198	997.772	-0.353	0
1	199	999.009	-0.157	0
1	200	999.752	-0.039	0
1	0			
